Age_[ka]	IRD_[grain/g]
0.98	1.50
1.64	0.26
2.95	0.70
5.03	0.00
6.12	0.61
6.99	1.17
7.98	3.00
8.74	1.17
10.27	1.15
11.04	3.94
11.91	4.44
13.11	6.43
16.28	9.27
17.60	3.59
19.34	5.23
20.87	6.10
22.30	10.19
23.83	5.59
25.36	6.41
26.67	10.14
29.51	8.47
32.02	4.86
34.54	1.22
37.16	0.66
39.67	1.01
42.30	0.59
44.48	0.63
47.21	1.01
49.73	0.77
52.13	0.66
54.86	0.47
57.05	1.55
59.89	0.56
62.08	0.23
64.59	0.16
66.67	0.75
68.85	0.05
71.58	0.19
73.88	0.96
76.07	1.88
78.47	0.38
80.77	0.21
83.06	0.16
85.57	0.14
87.54	0.85
90.05	1.22
92.46	0.75
94.75	0.42
97.05	1.06
99.45	0.42
101.75	0.33
103.83	0.75
106.45	0.73
108.74	4.27
110.82	1.34
113.44	1.27
115.41	0.00
118.03	0.07
120.44	0.26
