Depth_[m]	IRD_[grain/16cm3]
0	3.52
0.02	2.98
0.04	7.01
0.07	2.89
0.09	1.98
0.11	4.98
0.14	4.5
0.15	0.98
0.19	0.02
0.23	0.93
0.25	2.05
0.27	0.49
0.29	0
0.34	2.49
0.35	2.49
0.37	0.51
0.39	1.02
0.41	0
0.44	0.42
0.45	2.03
0.49	1.49
0.52	6.01
0.55	1.02
0.58	3
0.61	0
0.64	1.02
0.66	0
0.69	0.47
0.72	0.02
0.79	0.02
0.84	1
0.86	0
0.98	0.02
1.02	3.54
1.04	4.5
1.06	3.47
1.09	6.85
1.12	17.96
1.14	3.52
1.16	1.98
1.18	7.01
1.2	0.98
1.22	7.45
1.24	3.52
1.27	4.5
1.28	2.49
1.3	9.06
1.33	9.48
1.34	4.21
1.36	2.05
1.38	1.02
1.4	3.49
1.42	2.05
1.45	3.98
1.48	1.56
1.51	4.05
1.52	1.02
1.55	5.99
1.58	1.96
1.6	2.51
1.63	7.48
1.68	1
1.7	6.01
1.73	1.51
1.75	4.47
1.77	0.82
1.78	0.16
1.81	3
1.84	0.2
1.87	3.52
1.91	1.07
1.93	3.47
1.96	1.56
1.99	1.56
2	4.98
2.06	0
2.07	0.53
2.11	6.01
2.14	1
2.18	5.03
2.19	5.47
2.22	1.62
2.23	0.93
2.25	2.03
2.28	0.53
2.29	1.49
2.33	0.16
2.36	2.47
2.38	1.09
2.42	0.13
2.44	4.47
2.46	1
2.48	0.11
2.51	1.02
2.54	0.13
2.58	3
2.61	1.51
2.65	1.07
2.69	0
2.75	0
2.76	0.98
2.79	0.11
2.8	1
2.84	0.13
2.85	5.99
2.89	6.45
2.91	2.56
2.93	3.52
2.96	4.5
3	1.02
3.03	3
3.07	7.99
3.09	2.56
3.11	4.98
3.12	1.07
3.16	11.48
3.22	3.47
3.25	5.45
3.3	3.09
3.32	8.01
3.36	5.01
3.39	2.47
3.4	6.94
3.42	0.09
3.45	0.98
3.49	0.09
3.49	5.45
3.53	2.07
3.55	2.45
3.55	13.46
3.59	3
3.62	6.01
3.66	4.03
3.72	10.04
3.74	4.87
3.78	3.49
3.8	7.99
3.84	0.51
3.89	4.52
3.96	0
3.97	2
4.02	0.53
4.06	5.52
4.1	0
4.15	0.49
4.18	2.98
4.25	1
4.22	3.47
4.2	1.02
4.26	4.52
4.29	0.49
4.3	4.01
4.32	2.51
4.39	3.94
4.4	0.47
4.42	0
4.49	0
4.51	1.07
4.55	0.16
4.56	3.52
4.59	1
4.62	3.54
4.64	0
4.7	0.11
4.73	1
4.79	1
4.81	10.5
4.81	3.54
4.88	2
4.9	2.54
4.93	2.05
4.95	2.49
4.98	2.07
5	0
